id	title	created	idea	author	votes	votes_for	votes_against	comment_count	link	errors
2420-4049	Depression, Bipolar Disorder, and other mental illnesses can be cured naturally	2009-05-20 00:00:00	Dear Barack:<br /><br />I am a person that, by my own efforts, overcame bipolar disorder via natural means in the late 1990's. In doing so, I learned how to properly treat both depression and bipolar disorder in most persons that are so afflicted. (My knowedge in these two regards is "world leading", and it has been world leading for over nine years.)<br /><br />In 2004, I taught my (then thirteen year old) son Willy how to cure himself in regard to his ADHD diagnosis, classic bipolar symptoms, and weak and sickly childhood health. <br /><br />Willy has generated a recovery story that "the whole world needs to hear". As a result of some simple biological knowledge that I taught him on weekends and his own efforts (I am a non-custodial father), Willy went from a "basket-case child", both mentally and physically, to one of the healthiest, happiest, and strongest young men in his entire high school.<br /><br />Willy's "before and after pictures" on two blogs on http://360.yahoo.com/allen_dar show the above point well. These blogs are:<br /><br />Willy's Three Year ADHD/Bipolar Recovery Story<br /><br />http://blog.360.yahoo.com/blog-Kgb7fcYwd6q.3mLsjmULpwU-?cq=1&p;=235<br /><br />Doctors Helped Cause Willy's Sickness; A Picture When He Was Not Well<br /><br />http://blog.360.yahoo.com/blog-Kgb7fcYwd6q.3mLsjmULpwU-?cq=1&p;=226<br /><br />Willy and I have found out that what we are doing to achieve physical and mental health applies to many other persons (millions).<br /><br />The truth is that nutrients can profoundly correct rather severe depressive, bipolar, and schizophrenic symptoms within a matter of hours to a matter of days. (No drug in the world can do what nutrients and other natural measures can do in these regards, or come even close.)<br /><br />Someone had to eventually figure out how to cure severe mental illness symptoms via natural means... and that someone had to "be one of us" (those of us affected by such illnesses). <br /><br />I am that "someone" in the paragraph above. My son is "solid anecdotal proof" of what I am representing in this regard. So are other persons that are doing what we are doing (or similar) supplement-wise and otherwise.<br /><br />Drug oriented medicine is the biggest hoax in history. It has no cures for a myriad of illnesses, despite the fact that it pretends to know what it is talking about.<br /><br />It is no accident that I have had extraordinary difficulty staying online since I first widely posted my son Willy's amazing recovery story to the Internet in June 2006. Since this time, I have had six different personal computers of my own hacked into and/or disrupted, and I have had three computers of family members attacked while I was using them as well. I have also been hacked while using numerous computers in two public libraries near me. <br /><br />The above computer difficulties apparently stem from Big Pharma monitoring the growth of alternative medical truth on the Internet, and doing all it can to slow this growth of truth down.<br /><br />Big Pharma does not want the fact that mental illness can be cured naturally be found out by the masses. If this truth is found out, drug oriented medicine is doomed, and "they" know it.<br /><br />These people most certainly know that if you, as the President of the U.S., hear what my son, I, and some other people have to say in regard to how to properly resolve mental illness and addiction via natural means that drug oriented medicine, as we know it today, is doomed.<br /><br />Conclusion<br /><br />I cannot recommend enough that you set up an open forum in Washington, D.C. to hear what alternative medicine has to say on a number of topics. (For example, did you know that medicating high cholesterol is considered a hoax by a number of doctors in the alternative medical arena. Medicating high blood pressure is also considered a hoax by knowledgeable alternative medical practitioners. And medicating acid reflux disease is considered a hoax as well. These three classes of fraudulent medications are only the beginning of the enormous hoax being pulled on us by "Big Medicine" and Big Pharma.)<br /><br />My recovery experience, my son Willy's recovery experience, as well as the recovery experiences of a number of other persons, offers overwhelming anecdotal proof that antidepressants, mood stabilizers, and anti-psychotic medications are all fraudulent as well.<br /><br />Barack, ONLY YOU have the power and the means to correct this enormous problem of natural cures being shut out by the federal law that "ONLY A DRUG can diagnose, prevent, treat, or cure a disease".<br /><br />America needs to become legally open to what nutrients and other natural measures have to to offer in regard to curing disease. If this does not occur, it is inevitable that we are going to become a second class nation as a result of (1) a populace that is becoming less healthy mentally and physically generation after generation, and (2) a populace that is bankrupted by high medical costs.<br /><br />God help us all if you cannot hear what alternative medicine in general, and persons such as myself, are saying.<br /><br />And God help us all if Big Pharma succeeds in getting healing nutritional supplements taken out of the public domain in the U.S., as they have succeeded in doing in many other countries around the world.<br /><br />This issue of what chemical agents best cure disease, drugs vs. nutrients and other natural measures, is an issue that MAY NEED TO BE PROPERLY ADDRESSED BY YOU if our planet has a ghost of a chance of being saved. It is that important.<br /><br />Sincerely,<br /><br />Allen Darman<br /><br />http://360.yahoo.com/allen_dar<br /><br />Email: allen_dar@yahoo.com<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>The idea I am submitting would contribute to the health and the recovery of millions of persons that suffer from depression, bipolar disorder, and other mental illnesses. It would also contribute to the health and the recovery of millions of persons that suffer from a myriad of addictions (alcohol, cocaine, heroin, etc.).<br /><br />The simple truth is that drugs can only mask (hide) the symptoms of severe mental illness, while nutrients and other natural measures can profoundly cure such.</div><br />	allen_dar	-73	20	93	4	http://opengov.ideascale.com/akira/dtd/2420-4049	
2421-4049	Immigration	2009-05-20 00:00:00	Review the current interview process for immigrants abroad. Currently the decision to grant or deny a visa rests solely with the immigration officer conducting the interview. The denial is often times based on opinion not fact. This leaves the applicant and the beneficiary very little options on how to defend the denial if they don't have a specific reason for the denial.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>My brother is married to US Citizen and his visa was denied based on 221(g). Failing to establish a bona fide relationship. What does that mean? How can one prove a relationship is "bona fide" if they do not know what made it NOT BONA FIDE in the first place? This issue is also affecting many other people in similia situations. </div><br />	nsha1973	-13	40	53	4	http://opengov.ideascale.com/akira/dtd/2421-4049	
2422-4049	Hold Agencies Accountable for Implementing the Open Government Directive	2009-05-20 00:00:00	Leadership and oversight at the highest levels of the federal government will be necessary for the Open Government Directive to succeed. The Presidentâ&euro;&trade;s Management Council, which is made up of the Deputy Secretaries of all major agencies, should oversee the implementation of the directive to ensure that the entire federal government is working together to manage the implementation of the directive. <br /><br />All agencies should provide regular public reports on their progress towards implementing the Open Government Directive. Existing performance measurement and scorecard systems should be modified to include transparency, participation and collaboration criteria and metrics. <br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div></div><br />	jgoldman	261	320	59	10	http://opengov.ideascale.com/akira/dtd/2422-4049	
2423-4049	Open source America's "operating system"	2009-05-20 00:00:00	Carl Malamud has been working for years to make government publications accessible to everyone. (I don't know Carl personally in any way but his efforts at public.resource.org speak for themselves.) You need to hire Carl Malamud into the Government Printing Office so he can use the internal tools that already exist in government to keep our laws open and easily accessible.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>The most fundamental structure of American government for the average citizen is our system of law. Since it's our duty to know the law, it shouldn't be kept from us behind private pay walls or artificial barriers of obsolete technology.</div><br />	averym	91	135	44	5	http://opengov.ideascale.com/akira/dtd/2423-4049	
2424-4049	Encourage State and Local Governments to Become More Open and Inclusive	2009-05-20 00:00:00	President Obama's historic commitment to open government has inspired people across the country with a renewed belief that government can and should be transparent, participatory and collaborative. In Seattle, WA, the City Council has formed an Open Government Committee to explore and recommend ways to improve citizens' access to public documents and seek more diverse community input on issues affecting the city in advance of legislative action. In Owensboro, KY, citizens have signed an Open Government Pledge and asked local government leaders to adopt a set of principles committing to more transparent and participatory practices.<br /><br />As President Obama develops and implements his Open Government Directive, he should support local governments in doing the same by offering guidance for the steps that cities, towns and counties can take to become more transparent, participatory and collaborative. The President should convene mayors, city administrators, city council members, county executives and county commissioners who have distinguished themselves for their commitment to open government principles. This Local Open Government Commission would pursue the following objectives:<br /><br />1. Develop a set of Open Government Principles that may be adopted by local governments <br /><br />2. Develop a set of Open Government Best Practices in the areas of Transparency, Participation, and Collaboration<br /><br />3. Develop an Open Government Seal of Approval that may be awarded to those local governments that demonstrate a commitment to open government principles by adopting the best practices described above<br /><br />4. Create a program to recognize local leaders for excellence in open government<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Many decisions that impact people's lives are made at the local and state level. The Open Government Directive is a great opportunity for the federal government to encourage local and state governments to encourage greater participation and collaboration.</div><br />	jgoldman	364	431	67	20	http://opengov.ideascale.com/akira/dtd/2424-4049	
2425-4049	4. Convene the American Public in National Discussions of One Million People or More on the Issues of Highest Public Concern	2009-05-20 00:00:00	A healthy democracy needs the capacity to involve its citizens in key decisions. Government cannot be left to leaders, experts, and pundits with the public only weighing in on election day. People from all walks of life should be encouraged to wrestle with tough questions, seek common ground, and develop and articulate their views.<br /><br />President Obama should call for regular national discussions of one million Americans or more on the issues of highest public concern, like foreign policy, energy, taxes, health care, and jobs. Every citizen should have a seat at the table. National Discussions could be one of the signature initiatives of the Open Government Directive that signals a new way of governing. <br /><br />National discussions will use a variety of methods to ensure that more than one million Americans can take part in a meaningful way. Some people will weigh in by participating in massive national town meetings that link gatherings around the country together by satellite, so that Americans in Buffalo can speak with Americans in San Jose, Boise, Birmingham and other communities around the nation. Others will host their own conversations in their homes, places of work or community centers. In small groups, they will wrestle with the challenges facing our nation and then submit their ideas over the Internet. Still others who cannot attend the national discussion in person will join the process online, where they will work with a small group in a virtual discussion space before registering their priorities.<br /><br />Each National Discussion will engage Americans from every walk of life and every corner of the nation. By providing so many people with a meaningful voice, we can help restore public trust in our governing institutions and energize the civic spirit of America.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>On the issues of highest public concern - foreign policy, taxes, health care, jobs - Americans have no formal way to wrestle with the choices facing policy makers and articulate their collective preferences as a nation. All too often, the health of our democracy is measured by participation in elections, rather than the ability of our governing institutions to represent the collective interests of the American people. Our democracy doesn't and shouldn't end after Election Day. It should provide the public with a real voice in our nation's policy making process while offering our representatives with a firm mandate to govern. </div><br />	jgoldman	203	312	109	17	http://opengov.ideascale.com/akira/dtd/2425-4049	
2426-4049	Social Media and the Government	2009-05-20 00:00:00	In order to foster better dialogue between government agencies and the individuals they serve, encourage and foster the use of Social Media. Reduce the restrictions currently placed on government employees in accessing various social media sites, and allow departments and individuals to extend the voice of the government to the people through various new media outlets. For those agencies dealing with public health messaging specifically, encourage personal interaction with individuals to promote healthy living.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div></div><br />	ksouder	57	87	30	5	http://opengov.ideascale.com/akira/dtd/2426-4049	
2428-4049	3. Create Incentives and a Recognition Program to Promote Participation, Collaboration and Transparency Among Federal Agencies	2009-05-20 00:00:00	The Federal Government should celebrate those agencies and federal managers who demonstrate a strong commitment to open government and develop new innovations for working with the public. An annual award should honor excellence in open government. The award should contain criteria requiring broad-based collaboration and community involvement, innovation, and promotion of best practices that result in outcomes that advance the Presidentâ&euro;&trade;s agenda. Incentives to pilot new public engagement and collaboration programs should be created, like a competition for funding and the creation of senior leadership competency requirements that focus on participation and collaboration skills.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>A risk averse culture within the federal government reduces the ability of federal managers to experiment with new methods of public participation and collaboration. Many managers in federal agencies do not perceive or appreciate the benefits of participation and believe that these processes exacerbate risks of delay, public controversy or mistakes that may result in reprisals or negative career repercussions. Steps must be taken to create new incentives and remove disincentives to pursue greater participation and collaboration within federal agencies. </div><br />	jgoldman	176	224	48	2	http://opengov.ideascale.com/akira/dtd/2428-4049	
2429-4049	Florida's Open Government Model	2009-05-20 00:00:00	Gov. Charlie Crist created the Office of Open Goverment on his first day as Gov. The Office's primary functions are to assure full and expeditious compliance with Florida's open government and public records laws, and to provide training to all executive agencies under the Gov.'s purview on transparency and accountability. Each agency was directed to designate a person at the agency who will act as the agency's public records/open government contact person. That individual will be responsible for complying with public records/open government requests and compliance at their respective agency and will also be the primary liaison between that agency and the Office of Open Government for purposes of training and compliance. Phone #s and emails for agency contacts are posted on website as well as other useful information. Great model to replicate on local, state and federal levels. http://www.flgov.com/og_home <br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Membersof the public have a person in each agency to assist them in accessing agency documents and meetings.</div><br />	carrinj	25	47	22	4	http://opengov.ideascale.com/akira/dtd/2429-4049	
2430-4049	Establish the President’s Management Council as the key oversight structure for creating a more open government	2009-05-20 00:00:00	Establish the President's Management Council as the key oversight structure for creating a more open government. The President's Management Council can effectively engage Deputy Secretaries of the cabinet-level departments and agencies, providing top-level management support for open government. As the key Executive Branch official, the Chief Performance Officer should take responsibility for directing the overall Open Government Directive. With the support of the Chief Performance Officer, the Council will work with the top federal managers to plan and guide the implementation of the directive across the federal government.<br /><br />Form three inter-agency work groups to carry out the main aspects of the directive with the President's Management Council.<br /><br />1. The first work group, chaired by the Office of Management and Budget, will oversee implementation of the Open Government Directive and measure its progress. OMB will provide policies, guidance, resources and performance measures necessary for the federal government to implement the Open Government Directive. Among the responsibilities of this work group will be: (a) make available additional funding to launch this initiative, (b) develop performance measures that recognize and validate effective actions, innovations and policies, (c) provide federal agencies with incentives that will recognize and reinforce progress, and (d) gather and distribute best practices and lessons learned as related to planning and implementing the Open Government Directive.<br /><br />2. The second work group, chaired by the Office of Personnel Management, will build the capacity of federal employees to engage the public. This workgroup will: (a) Define competencies needed; develop a shared vocabulary and knowledge base; develop training requirements addressed by the Office of Personnel Management's various training centers (including collaborative training through inter-agency efforts); ensure efforts are multi-disciplinary; and provide incentives to reward federal employees who successfully implement the Open Government Directive, and (b) Gather, organize and distribute the best practices and lessons learned related to building personnel capacity to reach out to the public.<br /><br />3. The third work group on technology issues related to open government, chaired by the Chief Technology Officer, will investigate enhancing public participation through the use of new technologies such as Web 2.0 and social media channels. This workgroup will: (a) Serve as the starting point for benchmarking, learning lessons, and identifying best practices for technology and government, and (b) Examine collaborations with citizen-experts in the emerging media and technology sectors.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Oversight, promotion and management of the Open Government Directive within the federal bureaucracy are critical to its success. Agencies have many competing priorities and directions. Creating a government that is truly open to the concerns and ideas of its citizens depends on effective policies, guidance, resources, and measures being implemented throughout the federal government. </div><br />	jgoldman	-4	30	34	1	http://opengov.ideascale.com/akira/dtd/2430-4049	
